,id,budget,popularity,vote_average,revenue,title
3519,89861,0,0.356495,10.0,0,Stiff Upper Lips
4247,361505,1,0.094105,10.0,0,Me You and Five Bucks
4045,78373,0,0.376662,10.0,565592,"Dancer, Texas Pop. 81"
4662,40963,0,0.0921,10.0,0,Little Big Top
3992,346081,0,0.296981,9.5,0,Sardaarji
2386,69848,0,0.910529,9.3,0,One Man's Hero
2970,88641,10500000,0.037073,8.5,123509,There Goes My Baby
1881,278,25000000,136.747729,8.5,28341469,The Shawshank Redemption
2796,43867,0,4.021389,8.4,0,The Prisoner of Zenda
3337,238,6000000,143.659698,8.4,245066411,The Godfather
2294,129,15000000,118.968562,8.3,274925095,Spirited Away
3865,244786,3300000,192.528841,8.3,13092000,Whiplash
2731,240,13000000,105.79293600000001,8.3,47542841,The Godfather: Part II
3232,680,8000000,121.463076,8.3,213928762,Pulp Fiction
662,550,63000000,146.75739099999998,8.3,100853753,Fight Club
4755,322745,50000,0.293587,8.3,0,Counting
1818,424,22000000,104.469351,8.3,321365567,Schindler's List
1990,1891,18000000,78.51783,8.2,538400000,The Empire Strikes Back
65,155,185000000,187.322927,8.2,1004558444,The Dark Knight
3719,510,3000000,127.525581,8.2,108981275,One Flew Over the Cuckoo's Nest
2947,30973,10000000,3.2081720000000002,8.2,4069090,The Visual Bible: The Gospel of John
1987,4935,24000000,49.549984,8.2,234710455,Howl's Moving Castle
1663,311,30000000,49.336397,8.2,0,Once Upon a Time in America
3723,17663,0,8.772574,8.2,0,Anne of Green Gables
1847,769,25000000,63.65424399999999,8.2,46836394,GoodFellas
2170,539,806948,93.06786600000001,8.2,32000000,Psycho
809,13,55000000,138.133331,8.2,677945399,Forrest Gump
4535,346,2000000,39.756747999999995,8.2,271841,Seven Samurai
690,497,60000000,103.698022,8.2,284600000,The Green Mile
3057,73,20000000,73.56723199999999,8.2,23875127,American History X
4602,389,350000,59.259204000000004,8.2,1000000,12 Angry Men
2247,128,26500000,60.732738,8.2,159375308,Princess Mononoke
3622,335,5000000,49.333137,8.1,5321508,Once Upon a Time in the West
2453,207,16400000,55.458583999999995,8.1,235860116,Dead Poets Society
96,27205,160000000,167.58371,8.1,825532764,Inception
329,122,94000000,123.63033200000001,8.1,1118888979,The Lord of the Rings: The Return of the King
95,157336,165000000,724.247784,8.1,675120017,Interstellar
3041,27322,10000000,1.000178,8.1,0,Love Jones
4238,3082,1,28.27648,8.1,8500000,Modern Times
